#separator:Tab
#columns:Word	Definition
#notetype:Basic
#deck:Vocabulary
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
trygg	trygg<br>  adjective (om människans omgivning),<br>  secure<br>  [used of human surroundings]<br>  Pronunciation: [tryg:]<br>  Inflections:  tryggt, trygga<br>  Definition: säker<br>  Example: en trygg famn (safe arms),<br>  en trygg uppväxtmiljö (secure (family) environment),<br>  vara i trygga händer (be in safe hands)<br><br>comfortable<br>  adjective,<br>  trygg<br>  ,<br>  tillräcklig<br><br>confident<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  självsäker<br><br>safe<br>  adjective,<br>  säker<br>  ,<br>  trygg<br>  ,<br>  riskfri<br>  ,<br>  ofarlig<br><br>secure<br>  adjective,<br>  säker<br>  ,<br>  trygg
print("✅ Word saved"	tryck ("✅ Word Saved"
äventyra	jeopardize
ansvarig för	responsible for
rimliga	Reasonable
störda	disturbed
gäller	applies
anvisningar	instructions
giltig	giltig<br>  adjective,<br>  valid<br>  Pronunciation: [²j'il:tig]<br>  Inflections:  giltigt, giltiga<br>  Synonyms: gällande<br>  Definition: som gäller, gångbar; laglig (legally effective, justifiable)<br>  Example: vara borta utan giltig anledning (be away without official leave)<br>  Derivations: giltighet (validity)<br>  Related words: ogiltig (antonym) (invalid)<br><br>sound<br>  adjective,<br>  laglig<br>  ,<br>  juridik laglig<br>  ,<br>  giltig<br><br>valid<br>  adjective,<br>  giltig<br>  ,<br>  gällande<br>  ,<br>  vara giltig<br>  ,<br>  vara i kraft<br>  Idiom: a valid passport (ett giltigt pass)<br><br>valid<br>  adjective,<br>  giltig<br>  ,<br>  tungt vägande<br>  Example: that's not a valid excuse (det är ingen giltig (tillräckligt tungt vägande) ursäkt)<br><br>validly<br>  ,<br>  giltighet<br>  ,<br>  valid=giltlig/tung   grund/underlag/grundval=base<br>  ,<br>  validitet<br>  ,<br>  giltigt<br>  ,<br>  gilitgt<br>  ,<br>  giltig<br>  ,<br>  personlig bedrift<br>  ,<br>  stamina<br>  ,<br>  avdelning<br>  ,<br>  trött<br>  ,<br>  skära<br>  ,<br>  franska<br>  ,<br>  välgrundat
upphör	ceases
däremot	However
förlora	lose
uppgifter	information
användbara	Useful
oavsett	regardless
överväldigande	overwhelming
stöd	support
vardag	Everyday
anslutna till	Connected to
bidrag	contribution
bidrag	bidrag<br>  noun,<br>  allowance<br>  ,<br>  benefit<br>  ,<br>  contribution<br>  ,<br>  subsidy<br>  Pronunciation: [²b'i:dra:g]<br>  Inflections:  bidraget, bidrag, bidragen<br>  Synonyms: donation, gåva, subvention, tillskott, underhåll, understöd<br>  Definition: hjälp, understöd av ekonomisk art; medverkan<br>  Example: bidrag för energisparande åtgärder (contributions for measures taken to help save energy),<br>  statliga bidrag till sysselsättningen (government subsidies to help stimulate employment),<br>  föreningen är beroende av bidrag från allmänheten (the association is dependent on contributions from the general public)<br>  Compounds: studiebidrag (student grant)<br><br>allowance<br>  noun,<br>  underhåll<br>  ,<br>  lön<br>  ,<br>  traktamente<br>  ,<br>  anslag<br>  ,<br>  bidrag<br>  ,<br>  understöd<br>  Explanation: pengar beviljade av stat eller kommun<br><br>contribution<br>  noun,<br>  bidrag<br>  Explanation: A sum of money voluntarily given by someone for a certain cause.<br><br>donation<br>  noun,<br>  donation<br>  ,<br>  gåva<br>  ,<br>  bidrag<br>  Explanation: (officiell) gåva<br><br>funding<br>  noun,<br>  bidrag<br>  ,<br>  finansering<br>  Explanation: money provided to finance a particular purpose.<br>  Example: We hope to get government funding. (Vi hoppas på statliga bidrag.)<br><br>grant<br>  noun,<br>  anslag<br>  ,<br>  bidrag<br>  ,<br>  stipendium<br>  ,<br>  förläning<br>  ,<br>  koncession<br>  Explanation: *funds granted by a public authority for a particular purpose<br><br>grant<br>  noun,<br>  bidrag<br>  Explanation: A sum of money given by a government or other body for some specific purpose.<br><br>subsidy<br>  noun,<br>  subvention<br>  ,<br>  bidrag<br>  ,<br>  understöd<br>  ,<br>  ekonomiskt understöd<br>  ,<br>  anslag<br><br>search-and-rescue<br>  ,<br>  bidrag<br><br>contributions<br>  ,<br>  Bidrag
åtgärd	åtgärd<br>  noun,<br>  measure<br>  ,<br>  procedure<br>  Pronunciation: [²'å:tjä:r_d]<br>  Inflections:  åtgärden, åtgärder<br>  Synonyms: handling<br>  Definition: handling (för att nå ett visst syfte), ingripande, behandling<br>  Example: vi måste vidta snabba åtgärder för att förbättra landets ekonomi (we must take swift measures to improve the country's economy),<br>  förebyggande åtgärder (preventive measures)<br>  Compounds: åtgärdspaket (package of measures),<br>  motåtgärd (countermeasure),<br>  kraftåtgärd (drastic (strong) measure)<br><br>arrangement<br>  noun,<br>  åtgärd<br>  ,<br>  anstalt<br>  ,<br>  disposition<br>  ,<br>  förberedelse<br><br>measure<br>  noun,<br>  mått och steg<br>  ,<br>  åtgärd<br>  Explanation: an action taken to bring about certain results<br>  Example: We have to use stronger measures. (Vi behöver vidta strängare åtgärder.)<br><br>measure<br>  noun,<br>  åtgärd<br>  Explanation: Official action that is taken in order to achieve a particular aim<br><br>move<br>  noun,<br>  flyttning<br>  ,<br>  drag<br>  ,<br>  utspel<br>  ,<br>  åtgärd<br>  ,<br>  steg<br><br>provision<br>  noun,<br>  ombesörjande<br>  ,<br>  tillhandahållande<br>  ,<br>  försörjning<br>  ,<br>  underhåll<br>  ,<br>  förberedelse<br>  ,<br>  åtgärd<br><br>step<br>  noun,<br>  åtgärd<br>  Example: this is definitely a step in the right direction (det här är definitivt ett steg i rätt riktning)<br>  Idiom: take steps (vidta åtgärder)
underlätta	facilitate
beräkning	calculation
dock	dock<br>  adverb,<br>  yet, nevertheless, still; however<br>  Pronunciation: [dåk:]<br>  Synonyms: emellertid, fast än, fasten, likväl<br>  Definition: i alla fall, ändå, likväl (however, for all that, still)<br>  Example: tåget går dock inte på torsdagar (the train does not go on Thursdays, however)<br><br>still<br>  conjunction,<br>  ändå<br>  ,<br>  dock<br>  ,<br>  likväl<br>  ,<br>  men ändå<br><br>yet<br>  adverb,<br>  dock<br>  ,<br>  i alla fall<br>  ,<br>  men<br>  ,<br>  ändå<br>  ,<br>  men ändå<br>  ,<br>  likväl<br>  ,<br>  emellertid<br>  Explanation: however, for all that, still
enbart	enbart<br>  adverb,<br>  only, alone, solely<br>  Pronunciation: [²'e:nba:r_t]<br>  Synonyms: bara, endast<br>  Definition: bara<br>  Example: ökningen gäller enbart andra kvartalet (the increase applies to the second quarter only)<br><br>entirely<br>  adverb,<br>  bara<br>  ,<br>  enbart<br>  Example: you're to blame entirely (det är enbart ditt fel)<br><br>exclusively<br>  adverb,<br>  uteslutande<br>  ,<br>  enbart<br>  ,<br>  endast<br>  Example: the group consisted exclusively of Greeks (gruppen bestod uteslutande av greker)<br><br>solely<br>  adverb,<br>  endast<br>  ,<br>  enbart<br>  ,<br>  uteslutande
orsak	cause
anpassa	anpassa<br>  verb,<br>  adjust<br>  ,<br>  suit<br>  ,<br>  adapt<br>  Grammar comment: A & x till/efter y; A & sig till x<br>  Pronunciation: [²'an:pas:ar]<br>  Inflections:  anpassade, anpassat, anpassa, anpassar<br>  Synonyms: acklimatisera, forma, justera, matcha, modifiera<br>  Definition: få att överensstämma, lämpa; tillvänja (make suitable to requirements; make accustomed to)<br>  Example: anpassa en produkt till konsumentens behov (bring a product into line with consumer needs),<br>  anpassa sig till ett liv i Sverige (adapt to a life in Sweden)<br><br>adapt<br>  verb,<br>  anpassa<br>  ,<br>  anpassa sig<br>  ,<br>  ställa om<br>  ,<br>  avpassa<br>  ,<br>  lämpa<br>  ,<br>  adaptera<br>  ,<br>  aptera<br>  ,<br>  använda<br>  Grammar comment: transitivt<br>  Explanation: make suitable to requirements, make *accustomed to (få att överensstämma, lämpa, tillvänja)<br>  Example: adapt to a life in Sweden (anpassa sig till ett liv i Sverige)<br><br>adjust<br>  verb,<br>  avpassa<br>  ,<br>  anpassa<br>  ,<br>  anpassa sig<br>  ,<br>  lämpa<br>  ,<br>  bringa i samklang<br>  Grammar comment: transitivt<br>  Explanation: få att överensstämma, lämpa, tillvänja<br><br>attune<br>  verb,<br>  ställa in<br>  ,<br>  bringa i samklang<br>  ,<br>  anpassa<br>  Grammar comment: transitivt<br>  Explanation: som passar väl ihop<br><br>condition<br>  verb,<br>  begränsa<br>  ,<br>  bestämma<br>  ,<br>  anpassa<br>  ,<br>  binda<br>  ,<br>  betinga<br>  Grammar comment: transitivt<br><br>dovetail<br>  verb,<br>  anpassa<br>  [figuratively],<br>  foga ihop<br>  ,<br>  passa in<br>  ,<br>  passa in i varandra<br>  Grammar comment: transitivt<br>  Example: it is intended to enable parents to dovetail their career and family commitments (det är meningen att det ska underlätta för föräldrar att foga ihop karriär och familjeåtaganden)<br><br>fit<br>  verb,<br>  anpassa<br>  ,<br>  aptera<br>  ,<br>  avpassa<br>  ,<br>  lämpa<br>  Grammar comment: transitivt<br>  Inflections:  fitted, fitted,<br>  [American English] fit, fit<br><br>match<br>  verb,<br>  anpassa<br>  Grammar comment: transitivt<br>  Example: you must learn to match your spending to your salary (du måste lära dig att anpassa dina utgifter till din lön)<br><br>modulate<br>  verb,<br>  anpassa<br>  [om ljud]<br>  Grammar comment: transitivt<br><br>pitch<br>  verb (musical),<br>  stämma<br>  ,<br>  anpassa<br>  ,<br>  anslå<br>  ,<br>  anslå en viss ton<br>  ,<br>  hålla<br>  ,<br>  hålla en viss ton<br>  Grammar comment: transitivt<br><br>pitch<br>  verb,<br>  anpassa<br>  ,<br>  anpassa till en viss nivå<br>  Grammar comment: transitivt<br><br>proportion<br>  verb,<br>  avpassa<br>  ,<br>  anpassa<br>  ,<br>  avväga<br>  ,<br>  jämka<br>  ,<br>  proportionera<br>  Grammar comment: transitivt<br><br>regulate<br>  verb,<br>  ställa in<br>  ,<br>  reglera<br>  ,<br>  anpassa<br>  Grammar comment: transitivt<br><br>suit<br>  verb,<br>  anpassa<br>  ,<br>  avpassa<br>  ,<br>  lämpa<br>  Grammar comment: transitivt<br><br>trim<br>  verb,<br>  anpassa<br>  [figuratively],<br>  vända<br>  Grammar comment: transitivt<br>  Idiom: trim one's sails to the wind (vända kappan efter vinden)<br><br>vary<br>  verb,<br>  variera<br>  ,<br>  ändra<br>  ,<br>  anpassa<br>  Grammar comment: transitivt<br>  Inflections:  varied, varied
särskild	special
nuvarande	current
Obligatoriska	Mandatory
